Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/aishell-io/aish,https://sourcegraph.com/github.com/aishell-io/aish,src/services/messages.ts,https://sourcegraph.com/github.com/aishell-io/aish/-/blob/src/services/messages.ts,,"[169, [[18, 30]]]; [54, [[22, 34]]]"
content,github.com/zhangqhn/mybase,https://sourcegraph.com/github.com/zhangqhn/mybase,MyBase/error_code.cpp,https://sourcegraph.com/github.com/zhangqhn/mybase/-/blob/MyBase/error_code.cpp,,"[23, [[3, 13] [3, 13] [3, 13] [3, 13] [3, 13] [3, 13]]]"
content,github.com/wine-mirror/wine,https://sourcegraph.com/github.com/wine-mirror/wine,include/wine/glu.h,https://sourcegraph.com/github.com/wine-mirror/wine/-/blob/include/wine/glu.h,,"[159, [[17, 27]]]"
content,github.com/supperthomas/bluetoothlover_doc,https://sourcegraph.com/github.com/supperthomas/bluetoothlover_doc,source/14_bobwenstudy/04_markdown/02_sphinx-autobuild_error.md,https://sourcegraph.com/github.com/supperthomas/bluetoothlover_doc/-/blob/source/14_bobwenstudy/04_markdown/02_sphinx-autobuild_error.md,,"[0, [[32, 42]]]; [69, [[13, 23]]]; [19, [[67, 77]]]; [72, [[31, 41]]]"
content,github.com/databendlabs/databend,https://sourcegraph.com/github.com/databendlabs/databend,tests/sqllogictests/suites/base/05_ddl/05_0029_ddl_create_catalog.test,https://sourcegraph.com/github.com/databendlabs/databend/-/blob/tests/sqllogictests/suites/base/05_ddl/05_0029_ddl_create_catalog.test,,"[10, [[10, 20]]]; [25, [[10, 20]]]"
content,github.com/mysql/mysql-server,https://sourcegraph.com/github.com/mysql/mysql-server,storage/ndb/src/kernel/blocks/backup/Backup.txt,https://sourcegraph.com/github.com/mysql/mysql-server/-/blob/storage/ndb/src/kernel/blocks/backup/Backup.txt,,"[296, [[9, 19]]]; [274, [[11, 21]]]; [281, [[11, 21]]]; [288, [[11, 21]]]"
content,github.com/facebook/mysql-5.6,https://sourcegraph.com/github.com/facebook/mysql-5.6,storage/ndb/src/kernel/blocks/backup/Backup.txt,https://sourcegraph.com/github.com/facebook/mysql-5.6/-/blob/storage/ndb/src/kernel/blocks/backup/Backup.txt,,"[296, [[9, 19]]]; [274, [[11, 21]]]; [281, [[11, 21]]]; [288, [[11, 21]]]"
content,github.com/alibaba/AliSQL,https://sourcegraph.com/github.com/alibaba/AliSQL,storage/ndb/src/kernel/blocks/backup/Backup.txt,https://sourcegraph.com/github.com/alibaba/AliSQL/-/blob/storage/ndb/src/kernel/blocks/backup/Backup.txt,,"[296, [[9, 19]]]; [274, [[11, 21]]]; [281, [[11, 21]]]; [288, [[11, 21]]]"
content,github.com/microsoft/Industrial-Foundation-Models,https://sourcegraph.com/github.com/microsoft/Industrial-Foundation-Models,data/meta_info/datasets-in-it-ops-applied-ai.json,https://sourcegraph.com/github.com/microsoft/Industrial-Foundation-Models/-/blob/data/meta_info/datasets-in-it-ops-applied-ai.json,,"[65, [[22, 32] [22, 32]]]; [62, [[59, 69]]]"
content,github.com/ziglang/zig,https://sourcegraph.com/github.com/ziglang/zig,lib/libc/include/any-windows-any/GL/glu.h,https://sourcegraph.com/github.com/ziglang/zig/-/blob/lib/libc/include/any-windows-any/GL/glu.h,,"[150, [[17, 27]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/invalid_select_fn.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/invalid_select_fn.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/windowing_invalid_udaf.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/windowing_invalid_udaf.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/drop_function_failure.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/drop_function_failure.q.out,,"[0, [[27, 37]]]"
content,github.com/Piasy/HackWebRTC,https://sourcegraph.com/github.com/Piasy/HackWebRTC,Use-WebRTC-Static-Library/app/libs/webrtc/include/voice_engine/include/voe_errors.h,https://sourcegraph.com/github.com/Piasy/HackWebRTC/-/blob/Use-WebRTC-Static-Library/app/libs/webrtc/include/voice_engine/include/voe_errors.h,,"[134, [[18, 28]]]; [138, [[23, 33]]]; [142, [[24, 34]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/drop_func_nonexistent.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/drop_func_nonexistent.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_invalid.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_invalid.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_instr_wrong_args_len2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_instr_wrong_args_len2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_to_epoch_milli_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_to_epoch_milli_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/nullif_union.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/nullif_union.q.out,,"[0, [[27, 37]]]"
